X(Set 3),keycap,Decimal
1,NumLock,1
2,1 !,2
3,2 @,3
4,3 #,4
5,4$,5
6,5 % E,6
7,6 ^,7
8,7 &,8
9,8 *,9
0a,9 (,10
0b,0 ),11
0c,- _,12
0d,= +',13
0e,Backspace,14
0f,Tab,15
10,Q,16
11,W,17
12,E,18
13,R,19
14,T,20
15,Y,21
16,U,22
17,I,23
18,O,24
19,P,25
1a,[ {,26
1b,] },27
1c,Enter,28
1d,CapsLock,29
1e,A,30
1f,S,31
20,D,32
21,F,33
22,G,34
23,H,35
24,J,36
25,K,37
26,L,38
27,; :,39
28," """,40
29,` ~,41
2a,LShift,42
2c,Z,44
2d,X,45
2e,C,46
2f,V,47
30,B,48
31,N,49
32,M,50
33,", <",51
34,. >,52
35,/ ?,53
36,RShift,54
37,KP-+,55
38,LCtrl,56
39,space,57
3a,RCtrl,58
45,KP-/,69
46,KP-*,70
47,KP-7 / Home,71
48,KP-8 / Up,72
49,KP-9 / PgUp,73
4b,KP-4 / Left,75
4c,KP-5,76
4d,KP-6 / Right,77
4e,KP-Enter,78
4f,KP-1 / End,79
50,KP-2 / Down,80
51,KP-3 / PgDn,81
52,KP-0 / Ins,82
53,KP-. / Del,83
54,KP--,84
54,Sleep,84
55,Down,85
56,Left,86
58,F1,88
59,F2,89
5a,F3,90
5b,F4,91
5c,F5,92
5d,F6,93
5e,F7,94
5f,F8,95
60,F9,96
61,F10,97
62,F11,98
63,F12,99
64,Esc,100
6e,PrtScr,110
6e,Alt+SysRq,110
6f,PgUp,111
71,LAlt,113
72,RAlt,114
75,\ |,117
76,ScrollLock,118
77,Pause,119
77,Ctrl+Break,119
78,Up,120
79,Delete,121
7a,End,122
7b,Insert,123
7d,Right,125
7e,PgDn,126
7f,Home,127
8b,LWin (USB: LGUI),139
8c,RWin (USB: RGUI),140
8d,Menu,141
ff,non-US-1,255
ff,Power,255
ff,Wake,255
